amount_requested,aadhaar_link_verified,multiple_claims,suspicious_ip_activity,category,scheme_name,category_type,aadhaar_number,income,is_fraud
5137,1,0,0,ST,Pre Matric Scholarship,Farmer,675870310267,188711,1
2315,1,1,0,ST,Post Matric Scholarship,Farmer,912279732310,39768,0
9380,0,0,0,OBC,Post Matric Scholarship,Worker,878960836258,90564,1
5467,1,1,0,General,Post Matric Scholarship,Student,158065227168,168092,1
4280,0,1,0,SC,Post Matric Scholarship,Pensioner,894726000729,122394,0
2870,0,1,0,VJNT,Pre Matric Scholarship,Worker,547451330662,88423,0
4125,0,1,0,SC,Post Matric Scholarship,Farmer,789093133377,117669,0
2962,1,1,0,VJNT,Other Scheme,Pensioner,249065707534,128519,1
5652,0,1,0,ST,Other Scheme,Farmer,746913119422,168247,1
686,1,1,0,ST,Other Scheme,Student,555604715971,122152,0
4950,1,0,1,ST,Post Matric Scholarship,Student,171163290080,160453,0
4805,1,1,0,General,Pre Matric Scholarship,Farmer,463652526334,138366,0
7729,0,1,0,SC,Post Matric Scholarship,Pensioner,661126440296,104086,1
5530,0,0,1,ST,Other Scheme,Student,348658362011,147918,1
4863,1,1,0,General,Pre Matric Scholarship,Worker,753229050886,198506,0
5367,0,0,0,ST,Post Matric Scholarship,Student,338160873973,187510,0
8960,0,1,0,OBC,Other Scheme,Student,984851478928,165537,1
3593,1,1,0,VJNT,Pre Matric Scholarship,Worker,962652240041,127262,0
4559,1,0,1,SC,Pre Matric Scholarship,Farmer,982522315694,120314,0
5053,0,0,0,VJNT,Post Matric Scholarship,Worker,849842638582,3840,1
9272,0,0,0,General,Pre Matric Scholarship,Student,875741549616,102095,0
9801,1,1,0,ST,Other Scheme,Worker,433263192717,179468,1
7035,0,0,0,SC,Post Matric Scholarship,Pensioner,375796546499,170876,0
2947,0,1,0,ST,Pre Matric Scholarship,Worker,889622981603,7463,1
4572,1,1,0,General,Post Matric Scholarship,Worker,912690699961,180280,0
3028,1,1,1,ST,Post Matric Scholarship,Student,345486698513,56870,1
8787,0,1,0,OBC,Post Matric Scholarship,Pensioner,327489064247,149991,1
9231,0,1,1,ST,Pre Matric Scholarship,Student,477043944698,103973,1
8434,1,0,0,OBC,Post Matric Scholarship,Student,375246291098,11230,0
2292,1,0,1,OBC,Other Scheme,Student,471523268417,105768,1
4648,0,1,1,VJNT,Pre Matric Scholarship,Farmer,140701996649,151983,1
8394,0,0,0,General,Pre Matric Scholarship,Worker,332853359551,172042,1
1868,0,1,0,OBC,Pre Matric Scholarship,Student,847050984637,100556,1
847,1,1,1,SC,Other Scheme,Farmer,430561856147,184569,0
8351,0,1,0,VJNT,Post Matric Scholarship,Farmer,417660840943,90136,0
9916,1,1,1,ST,Pre Matric Scholarship,Pensioner,373298325671,141135,0
3541,1,0,1,SC,Pre Matric Scholarship,Pensioner,865174185184,68443,1
2360,0,1,1,VJNT,Pre Matric Scholarship,Worker,842375979919,7794,0
4517,0,0,0,SC,Other Scheme,Student,688791156548,37534,0
9242,0,0,0,SC,Pre Matric Scholarship,Student,516557579214,78120,1
6968,0,1,1,ST,Pre Matric Scholarship,Pensioner,751562329186,38307,1
1823,1,1,1,ST,Pre Matric Scholarship,Worker,388368761669,74246,1
5110,0,0,0,VJNT,Other Scheme,Student,404021892701,165331,0
8281,0,0,1,VJNT,Post Matric Scholarship,Worker,748376650553,164873,0
1126,1,0,1,ST,Post Matric Scholarship,Student,562111117418,163806,1
6315,1,1,1,SC,Post Matric Scholarship,Pensioner,398566311891,168580,1
5188,1,0,1,General,Post Matric Scholarship,Farmer,488164093262,127395,0
1730,1,1,1,OBC,Pre Matric Scholarship,Worker,315187454210,152118,0
4615,0,1,0,ST,Post Matric Scholarship,Farmer,413603456419,5737,0
6629,0,1,1,OBC,Pre Matric Scholarship,Student,641958925746,103287,1
9807,0,0,1,SC,Pre Matric Scholarship,Farmer,192480968244,150652,0
2014,1,0,1,ST,Other Scheme,Student,203958366470,174408,0
8673,0,0,1,OBC,Pre Matric Scholarship,Student,852591747596,143585,0
3043,1,0,0,OBC,Other Scheme,Pensioner,535707118190,198149,0
4358,1,0,0,ST,Other Scheme,Worker,772607052335,136419,0
6512,1,0,0,General,Other Scheme,Farmer,157769667638,174869,1
456,0,1,1,OBC,Other Scheme,Student,367382215454,177244,0
6256,1,1,1,VJNT,Post Matric Scholarship,Pensioner,305456930184,112987,0
5910,0,1,0,General,Other Scheme,Worker,473394201330,116253,0
6545,1,0,1,VJNT,Post Matric Scholarship,Student,874239584855,31775,0
2463,1,1,1,General,Post Matric Scholarship,Farmer,297325751270,65838,1
3777,1,0,0,SC,Other Scheme,Student,982547007715,69949,0
9963,0,0,0,General,Other Scheme,Farmer,856877331165,36394,0
3104,1,1,0,OBC,Pre Matric Scholarship,Farmer,961327817267,126776,0
3416,0,0,0,ST,Pre Matric Scholarship,Student,955435223521,43178,0
1926,1,0,0,General,Post Matric Scholarship,Student,661925473477,184340,0
5005,1,0,0,General,Post Matric Scholarship,Student,847540310473,113728,0
